geneID	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
FGF1	2.789766181894454	3.325612887907068	3.6848354587622247	3.6133860152961	3.784760335010661	2.5457450289495647	2.5945605084449035	0.0113533406348766	0.6431327164468941	0.8982273895755547
FGF14	2.8747404852375236	3.8168859536720676	3.796922915798898	3.6285905071659417	2.1590771399928537	0.09837538748711366	0.12324982476112335	0.726233973456124	-2.0017615023018256	-0.11684573435165506
FGF22	3.402342220228133	2.54075610087725	2.5801779359631114	2.4532070081104154	4.643153366719677	2.0576844835004433	-2.5065406914979387	-0.36591047780150976	0.04613449924018823	0.44279372973990244
FGFBP2	3.3336375182861726	3.683460385333797	4.02180533175458	3.9613740735285874	4.063938499508794	-0.2102427934783128	1.5560531105429651	0.7426084507304683	3.1739958521985066	-0.28420663008941627
FGFR2	7.152267895615613	6.544893135642586	7.0386279390361794	6.465605442558287	6.509151459473111	3.7705107706381584	2.7186276153878692	1.276277167008175	1.5247441531813577	3.4329797622659597
FGFR3	8.755417167567316	8.244267761751361	8.400013876070982	8.41905604418776	8.508222294887059	6.829226561992572	2.723386782793079	4.602649165132977	4.3642853522279355	5.511278724904525
FGL2	6.48286798298385	7.089468798459769	6.663976407930921	7.44487651086171	6.320762615841687	8.79826863114157	9.131837630098824	9.555508782928655	9.610499815397786	9.970528069723438
FGR	0.9626201703751096	2.666019772611929	1.1843097560579576	2.0615563951756912	2.7846093927948736	5.819541764932795	6.233444145870504	6.577316026429412	6.398351138966743	6.212750100173001
FHAD1	-0.5847526528055308	-1.1216828059624802	0.41945918159441814	-2.0370908560871968	0.04248719322509329	3.0923644908417143	2.2428893364203284	3.242258991842634	2.7518999821287218	3.2567503802956397
FHDC1	5.369467216155247	4.745336159640969	4.540594332694047	4.856027292681706	5.363582454628981	3.491554876672705	2.0474242436761863	2.021815445850146	1.9320526967753324	3.2054793327373172
FHL1	6.886284221510949	8.557996755449377	8.737666763010802	9.106344808324618	8.421458857744241	5.267303731574058	5.194828738440706	3.3219587272396627	4.017010107768791	3.57470765634588
FIGN	3.0727408339813205	2.6829086996775096	3.674797868249016	2.208338554100067	3.891998868777056	-0.03969666615212947	1.6671069760642918	0.5380621245575531	-1.402874994821164	0.48472738403361415
FKBP11	2.3473114249676237	2.3358442811815086	2.5484360966524076	1.8139204502878061	2.484267040038438	5.719815285384198	5.4926823829104485	5.220110100727421	5.724992762909554	4.580634274340566
FLI1	2.4916334408026137	2.746133378009088	3.5734589319271874	3.254049747846828	4.289962734651939	4.897611052205398	5.6503605357524185	4.95968991702121	5.223718485355238	4.7973656711991355
FLT3	0.9170582326434419	1.5952754702994638	2.0536976350415315	1.273827443228941	1.2715990498859868	2.7874953203266117	4.008129552154405	4.050474522808705	4.396701202580433	3.990213604612082
FLVCR2	3.263298884508126	3.6880614047585505	2.721957396656253	3.0769507212272837	1.9358114600141088	5.833890683197026	5.581945268110331	6.16058323364532	6.499039355324116	5.940377215274891
FMNL1	3.1502386413075616	3.935337883048475	3.3990731547705586	3.8154293976380362	3.5098472377701833	5.636988078165133	6.580971589599651	6.373364080327719	6.469031874110367	6.718533489476933
FMNL3	4.106350403023896	4.9748936632641545	4.54186212388461	4.60079374926268	4.851922783029794	7.158283252937814	7.5660923562493965	7.571780233257794	7.527292714841722	7.5580957436415215
FMO1	1.8395914786872944	3.2991487907317114	3.5563094755058837	3.442585071766239	1.5116379318196784	6.041463059401162	5.972602231137719	5.898211813451385	6.397259506807598	4.871124403550108
FN1	8.312332927156302	8.7656949836825	8.49643920025944	8.963714698827228	9.478189531934886	11.325877366410168	12.172268049780326	12.271320362434025	11.608488097201374	11.50211917020267
FNBP1L	6.24345597189021	6.100565223010492	6.376755556000297	5.9284024403839375	5.151623479629401	4.315755939067165	4.588335285304822	3.453655003527234	3.1027484670830887	4.098872403100366
